Municipalité,CDNAME,Région,code_rl
Alleyn-et-Cawood,Pontiac,7.0,83005
Aumond,La Vallée-de-la-Gatineau,7.0,80005
Blue Sea,La Vallée-de-la-Gatineau,7.0,80010
Boileau,Papineau,7.0,79005
Bois-Franc,La Vallée-de-la-Gatineau,7.0,80015
Bouchette,La Vallée-de-la-Gatineau,7.0,80020
Bowman,Papineau,7.0,79010
Bristol,Pontiac,7.0,83010
Bryson,Pontiac,7.0,83015
Campbell's Bay,Pontiac,7.0,83020
Cantley,Les Collines-de-l'Outaouais,7.0,82005
Cascades-Malignes,La Vallée-de-la-Gatineau,7.0,80027
Cayamant,La Vallée-de-la-Gatineau,7.0,80037
Chelsea,Les Collines-de-l'Outaouais,7.0,82010
Chichester,Pontiac,7.0,83032
Chénéville,Papineau,7.0,79015
Clarendon,Pontiac,7.0,83040
Denholm,La Vallée-de-la-Gatineau,7.0,80045
Duhamel,Papineau,7.0,79022
Déléage,La Vallée-de-la-Gatineau,7.0,80050
Dépôt-Échouani,La Vallée-de-la-Gatineau,7.0,80055
Egan-Sud,La Vallée-de-la-Gatineau,7.0,80060
Fassett,Papineau,7.0,79025
Fort-Coulonge,Pontiac,7.0,83045
Gatineau,Gatineau,7.0,37067
Gracefield,La Vallée-de-la-Gatineau,7.0,80065
Grand-Remous,La Vallée-de-la-Gatineau,7.0,80070
Kazabazua,La Vallée-de-la-Gatineau,7.0,80078
Kitigan Zibi,La Vallée-de-la-Gatineau,7.0,80085
L'Ange-Gardien,Les Collines-de-l'Outaouais,7.0,82015
L'Isle-aux-Allumettes,Pontiac,7.0,83050
L'Île-du-Grand-Calumet,Pontiac,7.0,83055
La Pêche,Les Collines-de-l'Outaouais,7.0,82020
Lac-Lenôtre,La Vallée-de-la-Gatineau,7.0,80090
Lac-Moselle,La Vallée-de-la-Gatineau,7.0,80095
Lac-Nilgaut,Pontiac,7.0,83060
Lac-Pythonga,La Vallée-de-la-Gatineau,7.0,80103
Lac-Rapide,La Vallée-de-la-Gatineau,7.0,80110
Lac-Sainte-Marie,La Vallée-de-la-Gatineau,7.0,80115
Lac-Simon,Papineau,7.0,79030
Lac-des-Plages,Papineau,7.0,79037
Litchfield,Pontiac,7.0,83065
Lochaber,Papineau,7.0,79047
Lochaber-Partie-Ouest,Papineau,7.0,79050
Low,La Vallée-de-la-Gatineau,7.0,80125
Maniwaki,La Vallée-de-la-Gatineau,7.0,80130
Mansfield-et-Pontefract,Pontiac,7.0,83070
Mayo,Papineau,7.0,79060
Messines,La Vallée-de-la-Gatineau,7.0,80135
Montcerf-Lytton,La Vallée-de-la-Gatineau,7.0,80140
Montebello,Papineau,7.0,79065
Montpellier,Papineau,7.0,79078
Mulgrave-et-Derry,Papineau,7.0,79088
Namur,Papineau,7.0,79097
Notre-Dame-de-Bonsecours,Papineau,7.0,79105
Notre-Dame-de-la-Paix,Papineau,7.0,79110
Notre-Dame-de-la-Salette,Les Collines-de-l'Outaouais,7.0,82025
Otter Lake,Pontiac,7.0,83075
Papineauville,Papineau,7.0,79115
Plaisance,Papineau,7.0,
Pontiac,Les Collines-de-l'Outaouais,7.0,82030
Portage-du-Fort,Pontiac,7.0,83085
Rapides-des-Joachims,Pontiac,7.0,83088
Ripon,Papineau,7.0,
Saint-André-Avellin,Papineau,7.0,
Saint-Sixte,Papineau,7.0,
Saint-Émile-de-Suffolk,Papineau,7.0,
Sainte-Thérèse-de-la-Gatineau,La Vallée-de-la-Gatineau,7.0,80145
Shawville,Pontiac,7.0,83090
Sheenboro,Pontiac,7.0,83095
